"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","UNIQUE-TEST.01","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta-morph_tests.nalifier","","Fri Dec 06 22:09:04 GMT 2024","passed","Fri Dec 06 22:09:13 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","B4-NONDETERM.04","","Fri Dec 06 22:09:12 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","9000","hyperon-mettalog_sanity.alpha_equivalence_assertions_he_744","","Fri Dec 06 22:09:04 GMT 2024","passed","Fri Dec 06 22:09:13 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","RULE-MACROS.01","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","46","MATH-HYPHEN-FUNCTIONS.09","","Fri Dec 06 22:13:17 GMT 2024","failed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","75","INDEX-MIN-FUNCTIONS-EXTRA-2.19","","Fri Dec 06 22:13:17 GMT 2024","failed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","OUTPUT-LOAD-TESTS.01","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-mettalog_sanity.base_test_repr_parse_intersection","","Fri Dec 06 22:09:04 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","67","MINIMAL-METTA-TESTS.11","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","INDEX-MIN-FUNCTIONS-EXTRA-1.38","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","INDEX-MIN-FUNCTIONS-EXTRA-1.50","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","OUTPUT-LOAD-TESTS.13","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","CATCH-THROW-TESTS.10","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","43","MATH-HYPHEN-FUNCTIONS.13","","Fri Dec 06 22:13:17 GMT 2024","failed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","FACTORIAL.01","","Fri Dec 06 22:33:19 GMT 2024","passed","Fri Dec 06 22:33:19 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","1","INDEX-MIN-FUNCTIONS-EXTRA-1.43","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","B5-TYPES-PRELIM.10","","Fri Dec 06 22:09:12 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","95","INDEX-MIN-FUNCTIONS-EXTRA-1.35","","Fri Dec 06 22:13:17 GMT 2024","failed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","B4-NONDETERM.06","","Fri Dec 06 22:09:12 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","CALL-CLEANUP-TESTS.09","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","XOR-TEST.05","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","72","INHERIT-OR-NOT-TESTS.06","","Fri Dec 06 22:13:17 GMT 2024","failed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","10000","hyperon-mettalog_sanity.minimal_metta_tests","","Fri Dec 06 22:09:04 GMT 2024","passed","Fri Dec 06 22:09:14 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","B5-TYPES-PRELIM.05","","Fri Dec 06 22:09:12 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","LIMIT-TESTS.08","","Fri Dec 06 22:13:17 GMT 2024","passed","Fri Dec 06 22:13:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","A1-SYMBOLS.05","","Fri Dec 06 22:09:12 GMT 2024","passed","Fri Dec 06 22:09:12 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
