"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","XOR-TEST.07","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","F1-MODULEA.05","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","97","MINIMAL-METTA-TESTS.16","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","69","SEQUENTIAL-NESTED.11","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","47000","hyperon-mettalog_sanity.py_types","","Fri Nov 08 22:17:10 GMT 2024","failed","Fri Nov 08 22:17:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","8000","metta-morph_tests.sequential_nested","","Fri Nov 08 22:17:10 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","F1-IMPORTS.14","","Fri Nov 08 22:17:01 GMT 2024","passed","Fri Nov 08 22:17:01 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","C3-PLN-STV.04","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","06-MATCH-IN-SPACE.04","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","F1-MODULEA.05","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","CALL-CLEANUP-TESTS.07","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","55","OR-TEST.02","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","02-CURRIED-PLUS.01","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","SUBTRACTION-TEST.03","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9","D1-GADT.05","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","FUNCTIONAL-PROGRAMMING-TESTS.09","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","E2-STATES.12","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","TIME-SYNTHESIZE-SHORT.03","","Fri Nov 08 22:32:26 GMT 2024","passed","Fri Nov 08 22:32:26 GMT 2024","","SYNTH-BUFFER","SYNTH-BUFFER",""
"","2","HYPERPOSE.05","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","72","MINIMAL-METTA-TESTS.15","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","105","MINIMAL-METTA-TESTS.26","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-mettalog_sanity.03-soring-via-insert","","Fri Nov 08 22:17:10 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","D2-HIGHERFUNC.12","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","2","D2-HIGHERFUNC.06","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","F1-IMPORTS.13","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","2","LIMIT-TESTS.14","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","TESTS0.05","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","77","CALL-CLEANUP-TESTS.06","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","D2-HIGHERFUNC.17","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","8000","hyperon-mettalog_sanity.py_types_2","","Fri Nov 08 22:17:10 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","102","SPACE-INTERSECTION-TESTS.09","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","A1-SYMBOLS.03","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","ARITY-TESTS.01","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","EVAL-FOR-TESTS.07","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","TYPES.01","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","5","SEALED-TEST.08","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","INTERSECTION-TESTS.17","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","OUTPUT-LOAD-TESTS.05","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","OUTPUT-LOAD-TESTS.10","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D4-TYPE-PROP.01","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","3","TYPES3.01","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","INTERSECTION-TESTS.14","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","B2-BACKCHAIN.04","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","D1-GADT.01","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","1","TMPMATCH1.02","","Fri Nov 08 22:17:18 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","61","OUTPUT-LOAD-TESTS.12","","Fri Nov 08 22:25:38 GMT 2024","failed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","06-MATCH-IN-SPACE.03","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","SPACE-INTERSECTION-TESTS.13","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-experimental_scripts.b4_nondeterm","","Fri Nov 08 22:17:10 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","D2-HIGHERFUNC.10","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","B0-CHAINING-PRELIM.01","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","8000","metta-morph_tests.letlet","","Fri Nov 08 22:17:10 GMT 2024","passed","Fri Nov 08 22:17:18 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","SEQUENTIAL-NESTED.06","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","LIMIT-TESTS.15","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","STRING-TESTS.08","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","CATCH-THROW-TESTS.09","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","HYPERPOSE.07","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","MATCH-VOID.08","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","D2-HIGHERFUNC.03","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","3","MINIMAL-METTA-TESTS.43","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","MATCH-VOID.10","","Fri Nov 08 22:35:04 GMT 2024","passed","Fri Nov 08 22:35:04 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","56","G1-DOCS.03","","Fri Nov 08 22:22:27 GMT 2024","failed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","F1-MODULEA.01","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","1","OR-TEST.13","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","FIRST-ANSWER.02","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","198","TIME-SYNTHESIZE-LONG.03","","Fri Nov 08 22:32:26 GMT 2024","failed","Fri Nov 08 22:32:26 GMT 2024","","SYNTH-BUFFER","SYNTH-BUFFER",""
"","1","C1-GROUNDED-BASIC.06","","Fri Nov 08 22:22:27 GMT 2024","passed","Fri Nov 08 22:22:27 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","D4-TYPE-PROP.17","","Fri Nov 08 22:38:55 GMT 2024","passed","Fri Nov 08 22:38:55 GMT 2024","","QUICK","QUICK",""
"","2","LIMIT-TESTS.13","","Fri Nov 08 22:25:38 GMT 2024","passed","Fri Nov 08 22:25:38 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
