"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","CONCRETE-TYPES---METTA-LANGUAGE12.02","","Tue Nov 12 18:58:03 GMT 2024","passed","Tue Nov 12 18:58:03 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","INTERSECTION-TESTS.26","","Tue Nov 12 18:48:46 GMT 2024","passed","Tue Nov 12 18:48:46 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","INTERSECTION-TESTS.32","","Tue Nov 12 18:48:46 GMT 2024","passed","Tue Nov 12 18:48:46 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-mettalog_sanity.first_answer","","Tue Nov 12 18:40:33 GMT 2024","passed","Tue Nov 12 18:40:41 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","8000","metta_lang.Working_with_spaces___MeTTa_Language11","","Tue Nov 12 18:40:33 GMT 2024","passed","Tue Nov 12 18:40:41 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","9","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE10.08","","Tue Nov 12 18:58:03 GMT 2024","passed","Tue Nov 12 18:58:03 GMT 2024","","METTA-LANG","METTA-LANG",""
"","5","BASIC-GROUNDED-FUNCTIONS---METTA-LANGUAGE3.01","","Tue Nov 12 18:58:03 GMT 2024","passed","Tue Nov 12 18:58:03 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","C1-GROUNDED-BASIC.20","","Tue Nov 12 19:20:45 GMT 2024","passed","Tue Nov 12 19:20:45 GMT 2024","","QUICK","QUICK",""
"","2","RECURSION-AND-CONTROL---METTA-LANGUAGE2.04","","Tue Nov 12 18:58:03 GMT 2024","passed","Tue Nov 12 18:58:03 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","LIMIT-TESTS.07","","Tue Nov 12 18:48:46 GMT 2024","passed","Tue Nov 12 18:48:46 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","metta_lang.Operations_over_atoms___MeTTa_Language8","","Tue Nov 12 18:40:33 GMT 2024","passed","Tue Nov 12 18:40:41 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","21","BC-COMP.05","","Tue Nov 12 18:40:40 GMT 2024","passed","Tue Nov 12 18:40:40 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
