"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","BASIC-GROUNDED-FUNCTIONS---METTA-LANGUAGE8.04","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","7","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE6.02","","Fri Nov 15 23:18:33 GMT 2024","failed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE4.01","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","METATYPES---METTA-LANGUAGE1.02","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","113","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE1.02","","Fri Nov 15 23:18:33 GMT 2024","failed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","WORKING-WITH-SPACES---METTA-LANGUAGE3.05","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","CONCRETE-TYPES---METTA-LANGUAGE7.06","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","06-MATCH-IN-SPACE.03","","Fri Nov 15 23:08:11 GMT 2024","passed","Fri Nov 15 23:08:11 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","CONCRETE-TYPES---METTA-LANGUAGE5.01","","Fri Nov 15 23:18:33 GMT 2024","passed","Fri Nov 15 23:18:33 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","metta_lang.Metatypes___MeTTa_Language6","","Fri Nov 15 22:59:53 GMT 2024","passed","Fri Nov 15 23:00:01 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","F1-IMPORTS.03","","Fri Nov 15 23:04:54 GMT 2024","passed","Fri Nov 15 23:04:54 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
