"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","3","","MODULE-SYSTEM","","MODULE-SYSTEM","","C2-SPACES.01",""
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","C2-SPACES.04",""
"passed","Sat Sep 21 16:08:33 GMT 2024","Sat Sep 21 16:08:39 GMT 2024","6000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.f1_moduleA",""
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","C2-SPACES.02",""
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","C2-SPACES.05",""
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","C2-SPACES.03",""
"passed","Sat Sep 21 16:08:33 GMT 2024","Sat Sep 21 16:08:40 GMT 2024","7000","","WHOLE-TESTS","","WHOLE-TESTS","","module-system.c2_spaces",""
"passed","Sat Sep 21 16:08:26 GMT 2024","Sat Sep 21 16:08:26 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","F1-MODULEA.01",""
